ID,Timestamp,Symbol,Price,Volume
1,1,2,50980,37
2,2,2,50979,870
3,3,2,50979,64
4,4,1,50980,269
5,5,2,50980,646
6,6,1,50981,412
7,7,2,50981,638
8,8,2,50982,3
9,9,2,50981,542
10,10,1,50982,655
11,11,2,50983,636
12,12,1,50982,355
13,13,2,50982,835
14,14,2,50981,360
15,15,1,50981,757
16,16,2,50980,781
17,17,2,50980,778
18,18,2,50981,934
19,19,1,50980,15
20,20,2,50981,831
21,21,1,50981,277
22,22,2,50982,627
23,23,2,50981,703
24,24,1,50982,909
25,25,1,50981,434
26,26,1,50981,531
27,27,1,50981,79
28,28,1,50981,217
29,29,1,50982,266
30,30,1,50983,342
31,31,1,50984,361
32,32,2,50985,897
33,33,1,50985,172
34,34,1,50984,195
35,35,2,50983,559
36,36,1,50984,976
37,37,1,50985,733
38,38,1,50984,377
39,39,2,50983,779
40,40,1,50983,614
41,41,1,50983,239
42,42,2,50983,420
43,43,2,50983,994
44,44,1,50983,633
45,45,1,50983,270
46,46,2,50984,491
47,47,2,50985,416
48,48,2,50984,927
49,49,1,50984,6
50,50,2,50984,68
51,51,2,50984,745
52,52,1,50983,108
53,53,1,50983,77
54,54,1,50984,453
55,55,1,50984,339
56,56,1,50985,923
57,57,1,50984,908
58,58,1,50985,336
59,59,2,50985,892
60,60,1,50986,22
61,61,1,50986,981
62,62,2,50987,608
63,63,1,50986,229
64,64,2,50987,230
65,65,1,50987,272
66,66,2,50987,204
67,67,1,50988,277
68,68,2,50987,216
69,69,1,50986,794
70,70,2,50986,782
71,71,2,50985,660
72,72,1,50985,403
73,73,1,50985,979
74,74,1,50984,857
75,75,1,50983,901
76,76,1,50983,716
77,77,2,50984,391
78,78,1,50983,73
79,79,2,50983,410
80,80,1,50983,59
81,81,2,50984,623
82,82,2,50983,389
83,83,2,50984,608
84,84,1,50983,126
85,85,2,50983,771
86,86,2,50983,105
87,87,1,50983,192
88,88,2,50984,789
89,89,1,50983,949
90,90,1,50983,850
91,91,2,50982,30
92,92,1,50982,496
93,93,1,50983,314
94,94,1,50984,255
95,95,2,50984,276
96,96,1,50985,126
97,97,2,50985,419
98,98,2,50985,600
99,99,2,50986,435
100,100,2,50987,342
101,101,1,50987,404
102,102,2,50987,705
103,103,1,50988,643
104,104,1,50987,892
105,105,2,50987,871
106,106,1,50987,474
107,107,1,50987,587
108,108,1,50987,706
109,109,1,50987,314
110,110,2,50987,73
111,111,2,50987,603
